date,city,city_zh,lat,lon,AQI,PM2.5,PM10,SO2,NO2,CO,O3
2015-01,Dongguan,东莞,23.02,113.75,75.5,55.1,76.1,20.4,48.0,1.0,59.5
2015-01,Foshan,佛山,23.02,113.12,74.5,54.3,80.2,24.5,60.0,1.2,36.0
2015-01,Guangzhou,广州,23.13,113.26,73.0,53.0,76.7,18.2,61.6,1.3,32.7
2015-01,Huizhou,惠州,23.11,114.42,56.3,34.2,65.7,12.1,29.8,1.0,62.2
2015-01,Jiangmen,江门,22.58,113.08,87.6,64.8,87.1,31.1,54.8,1.4,49.2
2015-01,Shenzhen,深圳,22.54,114.06,67.4,46.3,77.9,9.9,45.7,1.2,60.2
2015-01,Zhaoqing,肇庆,23.05,112.47,81.4,57.7,86.1,24.6,50.0,1.2,44.7
2015-01,Zhongshan,中山,22.52,113.38,75.0,54.1,84.4,20.2,45.6,1.6,29.8
2015-01,Zhuhai,珠海,22.27,113.58,81.5,59.3,89.5,16.3,51.0,1.5,60.7
2015-02,Dongguan,东莞,23.02,113.75,78.4,57.7,75.2,15.2,34.2,1.0,69.8
2015-02,Foshan,佛山,23.02,113.12,81.8,60.2,76.7,15.0,45.3,1.1,50.2
2015-02,Guangzhou,广州,23.13,113.26,84.6,62.3,82.3,13.0,53.8,1.1,38.2
2015-02,Huizhou,惠州,23.11,114.42,64.3,42.7,75.4,11.3,22.3,1.0,77.1
2015-02,Jiangmen,江门,22.58,113.08,93.9,68.8,90.5,19.9,43.7,1.0,56.0
2015-02,Shenzhen,深圳,22.54,114.06,74.4,53.6,78.4,9.5,35.2,1.1,67.1
2015-02,Zhaoqing,肇庆,23.05,112.47,91.3,67.2,85.6,17.6,29.0,1.1,52.5
2015-02,Zhongshan,中山,22.52,113.38,89.1,65.9,84.3,13.7,42.8,1.3,36.4
2015-02,Zhuhai,珠海,22.27,113.58,90.9,66.3,92.2,10.8,34.4,1.2,68.2
2015-03,Dongguan,东莞,23.02,113.75,51.5,34.8,50.5,11.9,40.5,0.9,41.6
2015-03,Foshan,佛山,23.02,113.12,56.6,39.6,56.5,15.4,47.6,1.1,21.7
2015-03,Guangzhou,广州,23.13,113.26,53.6,37.3,56.5,10.8,51.1,1.1,22.3
2015-03,Huizhou,惠州,23.11,114.42,45.1,24.8,47.4,8.2,21.4,0.8,53.5
2015-03,Jiangmen,江门,22.58,113.08,67.9,48.4,65.2,21.6,44.7,1.2,30.8
2015-03,Shenzhen,深圳,22.54,114.06,52.2,32.8,54.9,7.4,31.4,1.0,54.6
2015-03,Zhaoqing,肇庆,23.05,112.47,61.6,43.0,61.0,26.0,35.5,1.1,29.9
2015-03,Zhongshan,中山,22.52,113.38,56.8,38.4,59.7,13.1,36.2,1.1,28.1
2015-03,Zhuhai,珠海,22.27,113.58,47.4,31.2,45.9,6.1,35.4,0.8,50.0
2015-04,Dongguan,东莞,23.02,113.75,54.9,35.8,54.1,14.1,37.7,0.8,66.2
2015-04,Foshan,佛山,23.02,113.12,56.8,37.6,58.7,19.3,39.7,0.9,51.6
2015-04,Guangzhou,广州,23.13,113.26,63.1,42.1,66.7,14.9,48.4,1.1,49.2
2015-04,Huizhou,惠州,23.11,114.42,52.6,28.4,58.6,9.4,25.3,0.8,64.7
2015-04,Jiangmen,江门,22.58,113.08,50.2,32.1,53.9,16.4,28.0,0.9,48.0
2015-04,Shenzhen,深圳,22.54,114.06,49.6,29.5,54.3,8.7,35.8,0.9,51.5
2015-04,Zhaoqing,肇庆,23.05,112.47,57.0,37.1,60.0,22.6,27.1,0.9,63.5
2015-04,Zhongshan,中山,22.52,113.38,51.9,35.2,52.8,13.7,28.8,1.0,47.0
2015-04,Zhuhai,珠海,22.27,113.58,50.8,30.0,54.6,8.0,29.1,0.7,56.0
2015-05,Dongguan,东莞,23.02,113.75,40.4,25.5,39.4,8.4,32.3,0.8,57.7
2015-05,Foshan,佛山,23.02,113.12,42.3,27.2,41.5,14.1,40.8,0.9,40.0
2015-05,Guangzhou,广州,23.13,113.26,47.9,30.6,46.8,13.6,47.4,0.9,39.4
2015-05,Huizhou,惠州,23.11,114.42,39.5,20.3,39.7,7.8,18.8,0.8,56.6
2015-05,Jiangmen,江门,22.58,113.08,29.7,17.5,29.5,9.5,20.9,0.8,24.8
2015-05,Shenzhen,深圳,22.54,114.06,35.5,17.6,35.5,7.8,29.8,0.9,44.4
2015-05,Zhaoqing,肇庆,23.05,112.47,49.7,33.0,50.0,26.3,35.1,1.0,51.2
2015-05,Zhongshan,中山,22.52,113.38,27.8,17.3,26.0,10.1,18.4,1.0,36.6
2015-05,Zhuhai,珠海,22.27,113.58,31.5,13.1,31.7,5.0,19.9,0.7,44.5
2015-06,Dongguan,东莞,23.02,113.75,30.3,17.3,28.9,9.0,23.1,0.7,48.4
2015-06,Foshan,佛山,23.02,113.12,34.6,20.6,34.2,14.8,28.7,0.7,39.0
2015-06,Guangzhou,广州,23.13,113.26,39.1,22.2,38.6,10.5,34.7,0.7,44.2
2015-06,Huizhou,惠州,23.11,114.42,33.4,13.8,33.4,10.0,16.8,0.7,46.6
2015-06,Jiangmen,江门,22.58,113.08,23.2,13.3,23.0,9.4,15.3,0.6,25.7
2015-06,Shenzhen,深圳,22.54,114.06,27.5,11.8,27.5,8.3,26.1,0.8,36.7
