city,year,PM2.5,PM10,SO2,NO2,CO,O3_MDA8_P90,CO_P95
Dongguan,2015,36.8,53.4,13.7,34.1,0.83,171.0,1.1604166666666664
Dongguan,2016,34.8,49.9,11.4,34.3,0.81,164.4,1.1752500000000001
Dongguan,2017,37.1,52.1,12.0,40.5,0.92,171.4,1.1910833333333333
Dongguan,2018,35.8,,9.9,37.8,0.79,164.0,1.1227499999999981
Dongguan,2019,32.3,49.4,9.8,36.9,0.79,180.2,1.1565208333333334
Dongguan,2020,24.1,37.5,8.3,26.8,0.64,155.0,0.8675
Dongguan,2021,22.3,41.7,8.7,29.2,0.63,165.0,0.8694166666666666
Dongguan,2022,20.3,36.0,8.0,26.0,0.71,188.9,0.9471875000000001
Dongguan,2023,21.1,38.6,8.1,24.8,0.68,166.7,0.8558749999999999
Dongguan,2024,20.1,35.8,7.4,22.9,0.71,164.0,0.9104347826086957
Foshan,2015,39.8,59.3,17.3,40.7,0.94,140.0,1.3954743083003949
Foshan,2016,37.7,56.0,13.9,41.1,0.83,155.1,1.2521458333333335
Foshan,2017,39.9,64.1,13.0,44.5,0.83,172.1,1.1948478260869566
Foshan,2018,34.2,60.1,10.5,40.3,0.76,167.0,1.146520833333333
Foshan,2019,30.1,56.8,9.1,41.5,0.86,180.2,1.2844375000000001
Foshan,2020,22.6,43.1,7.5,31.1,0.68,154.0,0.9666041666666667
Foshan,2021,23.5,46.2,7.6,32.4,0.63,167.0,0.9533124999999999
Foshan,2022,21.5,38.3,6.3,28.8,0.67,182.0,0.9545208333333333
Foshan,2023,22.9,40.0,6.5,28.8,0.65,165.0,0.861125
Foshan,2024,22.1,38.3,7.4,28.6,0.63,153.2,0.8737499999999999
Guangzhou,2015,39.4,61.2,12.7,47.0,0.98,141.0,1.4137989130434776
Guangzhou,2016,35.7,56.4,11.8,45.9,0.96,154.0,1.3072291666666667
Guangzhou,2017,35.5,57.2,12.0,52.2,0.89,161.0,1.1930416666666666
Guangzhou,2018,35.0,54.9,9.9,48.5,0.8,166.0,1.1727499999999993
Guangzhou,2019,29.9,53.1,6.9,45.2,0.83,169.4,1.24875
Guangzhou,2020,23.1,43.1,7.0,36.4,0.75,159.0,1.0307699275362319
Guangzhou,2021,24.2,46.6,7.5,34.3,0.72,159.0,0.97375
Guangzhou,2022,21.6,38.9,6.4,28.8,0.72,177.8,0.9854166666666666
Guangzhou,2023,23.1,41.4,5.9,29.1,0.69,157.0,0.879432065217391
Guangzhou,2024,21.4,37.0,6.0,27.2,0.68,146.0,0.8816666666666667
Huizhou,2015,27.5,50.7,10.1,21.4,0.82,137.0,1.0922391304347823
Huizhou,2016,26.5,45.6,8.0,23.5,0.78,133.0,1.10175
Huizhou,2017,29.6,52.1,8.6,25.4,0.79,141.0,1.1108333333333336
Huizhou,2018,27.6,48.0,8.3,23.7,0.67,145.8,0.9913749999999982
Huizhou,2019,25.0,47.1,7.7,24.5,0.68,141.0,1.0681875
Huizhou,2020,20.0,38.5,8.1,18.1,0.6,139.0,0.8458333333333333
Huizhou,2021,19.3,40.3,7.7,19.6,0.55,144.0,0.7341666666666667
Huizhou,2022,17.2,33.0,4.6,16.1,0.57,147.9,0.7903749999999999
Huizhou,2023,18.9,36.1,5.6,16.0,0.61,128.0,0.769875
Huizhou,2024,18.0,32.0,6.2,14.4,0.59,138.0,0.7545833333333333
Jiangmen,2015,34.8,53.4,16.5,31.4,0.97,147.0,1.5278749999999997
Jiangmen,2016,33.0,56.1,11.5,33.9,0.87,161.0,1.2632500000000002
Jiangmen,2017,37.1,62.0,11.9,38.4,0.84,193.2,1.2985
Jiangmen,2018,30.7,56.5,9.1,34.2,0.78,179.0,1.148749999999999
Jiangmen,2019,26.9,49.8,7.1,32.8,0.79,195.0,1.352291666666667
Jiangmen,2020,21.0,40.7,7.0,26.2,0.71,173.4,1.0735416666666666
Jiangmen,2021,22.8,45.6,7.3,30.4,0.65,162.0,1.0008333333333332
Jiangmen,2022,20.5,39.8,6.6,26.7,0.62,193.9,0.965
Jiangmen,2023,22.5,41.3,6.5,25.1,0.61,170.0,0.8721249999999999
Jiangmen,2024,22.5,40.0,6.2,25.0,0.6,168.6,0.875
Shenzhen,2015,30.1,50.3,8.4,33.3,0.89,130.0,1.2656511857707509
Shenzhen,2016,26.7,42.3,8.2,32.7,0.8,133.0,1.082878623188406
Shenzhen,2017,28.2,44.9,7.9,29.6,0.76,145.0,1.0086666666666668
Shenzhen,2018,25.4,43.1,7.2,27.9,0.61,132.9,0.8534791666666667
Shenzhen,2019,24.2,42.0,5.2,25.5,0.63,152.2,0.9016458333333334
Shenzhen,2020,19.3,35.1,5.8,22.7,0.59,128.0,0.7914166666666665
Shenzhen,2021,18.2,36.9,6.1,24.2,0.59,128.0,0.803863224637681
Shenzhen,2022,16.4,31.2,5.4,19.8,0.61,146.9,0.7870208333333334
Shenzhen,2023,17.7,35.0,5.3,20.5,0.64,130.7,0.7883749999999998
Shenzhen,2024,17.2,32.6,5.6,19.4,0.57,137.2,0.73625
Zhaoqing,2015,39.1,58.4,20.5,30.8,0.94,147.0,1.4588124999999994
Zhaoqing,2016,37.1,56.6,16.0,32.7,0.93,149.1,1.3533125000000001
Zhaoqing,2017,40.6,59.3,13.9,36.7,0.99,158.1,1.3710416666666667
Zhaoqing,2018,38.4,,12.5,35.3,0.84,157.8,1.2422916666666663
Zhaoqing,2019,32.0,49.7,9.6,33.7,0.83,160.4,1.2585208333333333
Zhaoqing,2020,23.3,37.2,9.4,25.8,0.58,128.0,0.8683333333333333
Zhaoqing,2021,22.4,37.6,9.5,25.4,0.6,144.0,0.9074583333333334
Zhaoqing,2022,21.8,34.9,9.3,22.9,0.64,173.0,0.9278333333333333
Zhaoqing,2023,23.4,38.3,9.5,24.0,0.55,155.7,0.7452291666666667
Zhaoqing,2024,21.5,34.6,7.4,22.7,0.54,144.2,0.8120833333333333
Zhongshan,2015,34.0,50.7,12.2,30.2,1.07,142.0,1.7387401185770741
Zhongshan,2016,29.4,44.7,11.2,33.1,0.94,153.1,1.427620553359684
Zhongshan,2017,33.7,49.6,10.4,36.2,0.84,181.2,1.2963750000000003
Zhongshan,2018,29.3,,8.7,31.0,0.72,163.0,1.0854999999999995
Zhongshan,2019,27.7,44.3,6.0,32.0,0.72,185.6,1.1920208333333335
Zhongshan,2020,20.1,36.5,4.8,24.6,0.64,154.8,0.9741666666666666
Zhongshan,2021,20.6,39.8,4.8,25.5,0.6,153.0,0.8741666666666666
Zhongshan,2022,19.0,34.3,5.1,22.7,0.58,184.7,0.8078125
Zhongshan,2023,20.3,35.2,5.0,21.4,0.49,162.7,0.7387980072463767
Zhongshan,2024,19.9,34.4,5.5,22.2,0.49,150.4,0.7395833333333334
Zhuhai,2015,31.6,54.4,9.0,29.0,0.87,141.0,1.5812272727272723
Zhuhai,2016,26.2,42.5,9.2,31.8,0.77,144.0,1.0444166666666668
Zhuhai,2017,29.8,44.8,7.6,32.7,0.67,160.4,0.9939374999999998
Zhuhai,2018,26.9,43.0,6.7,29.5,0.63,155.8,0.9030166666666666
Zhuhai,2019,24.7,41.6,5.2,27.8,0.67,160.2,1.1398750000000002
Zhuhai,2020,18.7,33.9,4.8,24.1,0.58,142.8,0.9021739130434783
Zhuhai,2021,19.7,37.0,6.4,22.6,0.58,141.0,0.799582427536232
Zhuhai,2022,17.5,30.5,7.8,19.5,0.5,160.6,0.7911875000000002
