date,city,city_zh,PM2.5,PM10,SO2,NO2,CO,O3_MDA8
2015-01-02,Dongguan,东莞,74.7,110.1,28.6,55.9,0.99,133.0
2015-01-02,Foshan,佛山,55.6,92.6,37.1,75.9,1.08,84.0
2015-01-02,Guangzhou,广州,53.6,97.3,19.9,64.9,1.27,79.0
2015-01-02,Huizhou,惠州,43.0,92.4,20.1,26.4,0.97,115.0
2015-01-02,Jiangmen,江门,85.2,123.3,45.7,50.7,1.55,100.0
2015-01-02,Shenzhen,深圳,60.4,105.7,15.8,41.4,1.26,102.0
2015-01-02,Zhaoqing,肇庆,51.3,81.5,31.3,46.9,1.0,81.0
2015-01-02,Zhongshan,中山,54.8,110.1,20.3,39.9,1.3,56.0
2015-01-02,Zhuhai,珠海,71.8,112.9,13.0,37.5,1.55,91.0
2015-01-03,Dongguan,东莞,98.6,143.3,22.7,81.6,1.2,180.0
2015-01-03,Foshan,佛山,95.2,142.9,45.2,104.8,1.56,114.0
2015-01-03,Guangzhou,广州,102.4,156.9,30.5,99.2,1.71,98.0
2015-01-03,Huizhou,惠州,43.9,94.6,11.5,36.7,1.04,121.0
2015-01-03,Jiangmen,江门,105.6,134.8,40.1,51.2,1.77,141.0
2015-01-03,Shenzhen,深圳,45.1,81.0,11.9,44.7,1.14,110.0
2015-01-03,Zhaoqing,肇庆,81.0,117.4,45.0,68.5,1.27,100.0
2015-01-03,Zhongshan,中山,43.5,86.7,14.6,33.4,1.2,70.0
2015-01-03,Zhuhai,珠海,46.7,75.3,9.2,36.8,1.38,71.0
2015-01-04,Dongguan,东莞,,,,,,
2015-01-04,Foshan,佛山,,,,,,
2015-01-04,Guangzhou,广州,,,,,,
2015-01-04,Huizhou,惠州,,,,,,
2015-01-04,Jiangmen,江门,,,,,,
2015-01-04,Shenzhen,深圳,,,,,,
2015-01-04,Zhaoqing,肇庆,,,,,,
2015-01-04,Zhongshan,中山,,,,,,
2015-01-04,Zhuhai,珠海,,,,,,
2015-01-05,Dongguan,东莞,57.2,87.1,20.5,76.6,1.07,77.0
2015-01-05,Foshan,佛山,64.8,95.5,26.3,71.0,1.24,20.0
2015-01-05,Guangzhou,广州,61.5,90.5,29.9,79.7,1.48,21.0
