city,month,PM2.5,PM10,SO2,NO2,CO,O3_MDA8
Dongguan,2015-01,61.3,88.3,21.8,52.9,1.04,104.6
Dongguan,2015-02,52.0,69.0,13.5,35.5,0.96,96.2
Dongguan,2015-03,33.7,49.7,12.9,38.8,0.93,65.1
Dongguan,2015-04,33.2,,13.3,35.5,0.81,
Dongguan,2015-05,23.4,,8.1,30.8,0.8,
Dongguan,2015-06,16.4,,8.0,21.5,0.67,
Dongguan,2015-07,23.5,35.6,9.5,24.5,0.63,
Dongguan,2015-08,31.2,45.3,12.2,31.7,0.73,135.4
Dongguan,2015-09,38.2,54.1,13.4,30.5,0.73,144.8
Dongguan,2015-10,46.1,65.8,17.2,33.6,0.82,123.5
Dongguan,2015-11,41.8,60.9,17.4,35.2,0.87,93.9
Dongguan,2015-12,38.6,52.4,16.2,36.9,0.98,58.1
Dongguan,2016-01,35.1,46.1,13.8,35.8,0.97,49.5
Dongguan,2016-02,33.7,44.4,7.5,23.4,0.78,65.1
Dongguan,2016-03,47.2,63.7,10.5,48.5,0.81,73.6
Dongguan,2016-04,34.9,48.7,8.5,38.7,0.8,65.9
Dongguan,2016-05,28.4,42.9,7.8,24.8,0.65,105.4
Dongguan,2016-06,21.5,35.1,8.0,29.8,0.69,107.1
Dongguan,2016-07,24.1,39.3,9.3,25.8,0.58,116.1
Dongguan,2016-08,35.1,52.3,12.4,32.2,0.73,135.5
Dongguan,2016-09,35.9,52.6,14.7,34.3,0.75,113.4
Dongguan,2016-10,31.9,45.1,14.5,30.2,0.82,87.2
Dongguan,2016-11,39.8,57.2,14.7,37.9,1.02,90.4
Dongguan,2016-12,,,,,,
Dongguan,2017-01,51.7,69.5,12.5,41.7,1.08,82.7
Dongguan,2017-02,41.8,55.1,12.0,44.1,0.96,106.0
Dongguan,2017-03,37.9,59.8,11.0,51.8,0.99,70.5
Dongguan,2017-04,39.1,52.1,10.7,44.1,0.86,96.8
Dongguan,2017-05,39.7,54.8,13.2,39.6,0.86,127.0
Dongguan,2017-06,19.3,32.5,9.0,33.1,0.78,78.5
Dongguan,2017-07,22.8,36.4,10.8,34.2,0.82,87.1
Dongguan,2017-08,24.0,37.5,11.0,33.0,0.8,121.5
Dongguan,2017-09,34.6,49.1,12.5,38.4,0.88,142.4
Dongguan,2017-10,35.8,48.5,11.8,30.6,0.89,116.7
Dongguan,2017-11,43.7,56.6,11.9,41.8,1.03,79.8
Dongguan,2017-12,54.8,73.0,18.0,53.2,1.1,89.9
Dongguan,2018-01,59.6,,14.7,60.0,1.08,84.9
Dongguan,2018-02,44.1,,9.7,32.3,0.92,92.1
Dongguan,2018-03,42.6,57.2,11.8,47.7,0.91,124.2
Dongguan,2018-04,41.7,63.3,11.7,42.4,0.84,108.2
Dongguan,2018-05,24.5,39.7,7.7,28.3,0.6,122.8
Dongguan,2018-06,23.7,37.3,8.0,29.2,0.67,101.9
Dongguan,2018-07,20.5,35.9,7.5,27.9,0.59,95.5
Dongguan,2018-08,,,,,,115.8
Dongguan,2018-09,,,,,,
Dongguan,2018-10,37.6,54.0,10.3,37.9,0.77,113.2
Dongguan,2018-11,42.3,58.8,11.1,41.9,0.85,86.6
Dongguan,2018-12,,,,,,
Dongguan,2019-01,50.4,64.6,10.2,46.5,1.12,74.6
Dongguan,2019-02,27.0,33.8,7.1,26.1,0.79,64.4
Dongguan,2019-03,31.4,46.8,9.0,41.4,0.83,73.8
Dongguan,2019-04,26.6,40.9,9.7,35.8,0.77,86.3
Dongguan,2019-05,21.5,38.1,8.8,30.5,0.69,98.6
Dongguan,2019-06,14.6,26.9,7.6,25.8,0.7,98.1
Dongguan,2019-07,18.2,33.7,7.3,28.0,0.67,103.4
Dongguan,2019-08,,,,,,
Dongguan,2019-09,,,,,,
Dongguan,2019-10,41.0,61.6,12.3,34.8,0.78,159.4
Dongguan,2019-11,46.8,77.3,14.2,47.0,0.8,148.6
Dongguan,2019-12,49.8,75.7,13.9,56.3,0.83,104.8
Dongguan,2020-01,36.9,45.7,8.6,33.3,0.79,92.8
Dongguan,2020-02,27.6,30.6,8.4,18.7,0.59,87.3
Dongguan,2020-03,24.1,37.7,8.3,27.2,0.61,76.2
Dongguan,2020-04,29.5,44.6,9.6,33.7,0.67,108.7
Dongguan,2020-05,17.9,31.9,7.2,24.7,0.66,102.1
Dongguan,2020-06,9.5,19.9,5.9,19.2,0.52,72.1
Dongguan,2020-07,9.8,21.2,6.6,18.0,0.52,100.5
Dongguan,2020-08,17.6,29.8,7.0,24.5,0.6,113.2
Dongguan,2020-09,21.6,36.0,7.2,28.0,0.66,112.0
Dongguan,2020-10,27.1,44.5,9.1,24.0,0.66,111.8
Dongguan,2020-11,31.9,53.5,10.6,33.7,0.67,117.4
Dongguan,2020-12,37.5,55.7,11.5,36.9,0.76,94.4
Dongguan,2021-01,44.9,80.9,12.8,55.1,0.78,113.5
Dongguan,2021-02,25.1,40.7,10.0,25.8,0.65,123.9
Dongguan,2021-03,24.9,49.9,9.4,34.2,0.66,99.4
Dongguan,2021-04,24.2,51.2,8.2,31.2,0.72,119.3
Dongguan,2021-05,12.9,26.3,6.9,17.5,0.57,97.8
Dongguan,2021-06,13.4,27.3,7.4,19.2,0.54,93.6
Dongguan,2021-07,14.3,27.8,7.6,19.8,0.58,112.7
Dongguan,2021-08,13.8,26.6,7.9,24.6,0.59,99.9
Dongguan,2021-09,19.9,36.6,7.4,26.6,0.61,141.1
Dongguan,2021-10,19.3,32.7,7.3,22.1,0.61,90.9
Dongguan,2021-11,24.7,47.3,9.5,34.2,0.56,104.5
Dongguan,2021-12,29.2,51.4,10.3,38.6,0.67,88.7
Dongguan,2022-01,31.3,49.0,7.8,37.0,0.88,82.9
Dongguan,2022-02,17.0,25.1,7.2,21.9,0.77,73.6
Dongguan,2022-03,21.7,38.2,7.9,29.6,0.71,125.0
Dongguan,2022-04,20.7,39.6,8.3,27.1,0.63,121.7
Dongguan,2022-05,17.5,31.5,6.8,24.7,0.68,111.3
Dongguan,2022-06,9.3,19.8,5.3,18.9,0.52,74.6
Dongguan,2022-07,15.1,29.5,6.7,20.5,0.6,135.4
Dongguan,2022-08,12.7,25.0,7.3,22.0,0.72,109.4
Dongguan,2022-09,28.3,49.0,10.1,24.5,0.85,166.3
Dongguan,2022-10,21.8,43.4,10.9,24.2,0.73,138.6
Dongguan,2022-11,23.9,41.1,8.6,31.7,0.8,86.8
Dongguan,2022-12,23.2,39.2,9.3,28.7,0.66,72.1
Dongguan,2023-01,26.7,41.7,8.5,19.6,0.62,73.5
Dongguan,2023-02,26.4,47.9,8.5,30.8,0.58,107.7
Dongguan,2023-03,26.8,54.5,9.1,31.7,0.61,111.2
Dongguan,2023-04,21.4,41.3,8.7,26.4,0.69,107.3
Dongguan,2023-05,19.5,36.3,8.9,20.8,0.63,116.5
Dongguan,2023-06,13.3,24.3,7.5,18.9,0.65,107.9
Dongguan,2023-07,10.8,21.9,8.1,17.6,0.66,100.2
Dongguan,2023-08,14.1,26.6,7.6,20.5,0.73,102.4
Dongguan,2023-09,14.8,26.8,7.0,21.4,0.68,94.2
Dongguan,2023-10,21.6,34.9,6.9,20.2,0.75,107.9
Dongguan,2023-11,28.7,56.0,7.5,34.0,0.73,121.3
Dongguan,2023-12,29.9,52.3,9.0,36.5,0.79,87.1
Dongguan,2024-01,33.7,57.4,8.9,37.9,0.81,109.4
Dongguan,2024-02,18.8,29.7,7.4,15.3,0.75,67.6
Dongguan,2024-03,23.2,45.4,8.1,26.7,0.76,87.6
Dongguan,2024-04,18.6,31.3,7.7,21.6,0.74,78.5
Dongguan,2024-05,18.4,32.6,7.8,22.4,0.77,116.8
Dongguan,2024-06,10.9,22.1,6.1,15.4,0.67,72.9
Dongguan,2024-07,8.9,20.4,5.8,14.6,0.64,82.9
Dongguan,2024-08,18.9,33.5,5.8,24.2,0.74,123.4
Dongguan,2024-09,15.6,28.2,6.7,20.7,0.66,110.5
Dongguan,2024-10,20.1,36.2,7.7,17.5,0.65,118.7
